year,rank,player,team,points,percentages,nazionality,role,age,competitionTeam
1956,1st,Stanley Matthews,Blackpool,47.0,37.9,Inghilterra,RW,41,Premier League
1956,2nd,Alfredo Di Stéfano,Real Madrid,44.0,35.48,Spagna,SS,30,La Liga
1956,3rd,Raymond Kopa,Real Madrid,33.0,26.61,Francia,RW,25,La Liga
1957,1st,Alfredo Di Stéfano,Real Madrid,72.0,58.54,Spagna,SS,31,La Liga
1957,2nd,Billy Wright,Wolverhampton Wanderers,19.0,15.45,Inghilterra,CB,33,Premier League
1957,3rd,Duncan Edwards,Manchester United,16.0,13.01,Inghilterra,LM,21,Premier League
1958,1st,Raymond Kopa,Real Madrid,71.0,52.99,Francia,RW,27,La Liga
1958,2nd,Helmut Rahn,Rot-Weiss Essen,40.0,29.85,Germania,RW,29,Bundesliga
1958,3rd,Just Fontaine,Stade de Reims,23.0,17.16,Francia,CF,25,Ligue1
1959,1st,Alfredo Di Stéfano,Real Madrid,80.0,54.79,Spagna,SS,33,La Liga
1959,2nd,Raymond Kopa,Real Madrid,42.0,28.77,Francia,RW,28,La Liga
1959,3rd,John Charles,Juventus,24.0,16.44,Inghilterra,RB,28,Serie A
1960,1st,Luis Suárez Miramontes,Barcellona,54.0,43.55,Spagna,CF,25,La Liga
1960,2nd,Ferenc Puskás,Real Madrid,37.0,29.84,Ungheria,CF,33,La Liga
1960,3rd,Uwe Seeler,Hamburg,33.0,26.61,Germania,CF,24,Bundesliga
1961,1st,Omar Sívori,Juventus,46.0,42.59,Italia,SS,26,Serie A
1961,2nd,Luis Suárez Miramontes,Internazionale,40.0,37.04,Spagna,CF,25,Serie A
1961,3rd,Johnny Haynes,Fulham,22.0,20.37,Inghilterra,SS,27,Premier League
1962,1st,Josef Masopust,Dukla Prague,65.0,43.05,Repubblica Ceca,CM,31,Admiral Bundesliga
1962,2nd,Eusébio,Benfica,53.0,35.1,Portogallo,Defender,20,Primeira Liga
1962,3rd,Karl-Heinz Schnellinger,Köln,33.0,21.85,Germania,LB,23,Bundesliga
1963,1st,Lev Yashin,Dynamo Moscow,73.0,45.91,Russia,GK,34,Soviet Top League
1963,2nd,Gianni Rivera,Milan,53.0,33.33,Italia,AM,20,Serie A
1963,3rd,Jimmy Greaves,Tottenham Hotspur,33.0,20.75,Inghilterra,CF,23,Premier League
1964,1st,Denis Law,Manchester United,61.0,42.96,Scozia,CF,24,Premier League
