year,rank,player,team,nazionality,champions,laLiga,serieA,primeraLiga,Mondiale,coppaOlanda,coppaItalia,Europeo,europaLeague,bundesliga,CoppaAmerica,coppaInghilterra,coppaSpagna,legue1,premierLeague,coppaBelgio,scottishPremiership,coppaScozia,coppaFrancia
1956,1st,Stanley Matthews,Blackpool,Inghilterra,,,,,,,,,,,,,,,,,,,
1956,2nd,Alfredo Di Stéfano,Real Madrid,Spagna,champions,,,,,,,,,,,,,,,,,,
1956,3rd,Raymond Kopa,Real Madrid,Francia,champions,,,,,,,,,,,,,,,,,,
1957,1st,Alfredo Di Stéfano,Real Madrid,Spagna,champions,laLiga,,,,,,,,,,,,,,,,,
1957,2nd,Billy Wright,Wolverhampton Wanderers,Inghilterra,,,,,,,,,,,,,,,,,,,
1957,3rd,Duncan Edwards,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1958,1st,Raymond Kopa,Real Madrid,Francia,champions,laLiga,,,,,,,,,,,,,,,,,
1958,2nd,Helmut Rahn,Rot-Weiss Essen,Germania,,,,,,,,,,,,,,,,,,,
1958,3rd,Just Fontaine,Stade de Reims,Francia,,,,,,,,,,,,,,,,,,,
1959,1st,Alfredo Di Stéfano,Real Madrid,Spagna,champions,,,,,,,,,,,,,,,,,,
1959,2nd,Raymond Kopa,Real Madrid,Francia,champions,,,,,,,,,,,,,,,,,,
1959,3rd,John Charles,Juventus,Inghilterra,,,,,,,coppaItalia,,,,,,,,,,,,
1960,1st,Luis Suárez Miramontes,Barcellona,Spagna,,laLiga,,,,,,,,,,,,,,,,,
1960,2nd,Ferenc Puskás,Real Madrid,Ungheria,champions,,,,,,,,,,,,,,,,,,
1960,3rd,Uwe Seeler,Hamburg,Germania,,,,,,,,,,,,,,,,,,,
1961,1st,Omar Sívori,Juventus,Italia,,,serieA,,,,,,,,,,,,,,,,
1961,2nd,Luis Suárez Miramontes,Internazionale,Spagna,,,,,,,,,,,,,,,,,,,
1961,3rd,Johnny Haynes,Fulham,Inghilterra,,,,,,,,,,,,,,,,,,,
1962,1st,Josef Masopust,Dukla Prague,Repubblica Ceca,,,,,,,,,,,,,,,,,,,
1962,2nd,Eusébio,Benfica,Portogallo,champions,,,,,,,,,,,,,,,,,,
1962,3rd,Karl-Heinz Schnellinger,Köln,Germania,,,,,,,,,,,,,,,,,,,
