year,rank,player,team,points,percentages,nazionality,role
1956,1st,stanley matthews,Blackpool,47.0,37.9,England,RW
1956,2nd,alfredo di stefano,Real Madrid,44.0,35.48,Spain,SS
1956,3rd,raymond kopa,Real Madrid,33.0,26.61,France,RW
1957,1st,alfredo di stefano,Real Madrid,72.0,58.54,Spain,SS
1957,2nd,billy wright,Wolverhampton Wanderers,19.0,15.45,England,CB
1957,3rd,duncan edwards,Manchester United,16.0,13.01,England,LM
1957,3rd,raymond kopa,Real Madrid,16.0,13.01,France,RW
1958,1st,raymond kopa,Real Madrid,71.0,52.99,France,RW
1958,2nd,helmut rahn,Rot-Weiss Essen,40.0,29.85,Germany,RW
1958,3rd,just fontaine,Stade de Reims,23.0,17.16,France,CF
1959,1st,alfredo di stefano,Real Madrid,80.0,54.79,Spain,SS
1959,2nd,raymond kopa,Real Madrid,42.0,28.77,France,RW
1959,3rd,john charles,Juventus,24.0,16.44,England,RB
1960,1st,luis suarez,Barcelona,54.0,43.55,Uruguay,CF
1960,2nd,ferenc puskas,Real Madrid,37.0,29.84,Hungary,CF
1960,3rd,uwe seeler,Hamburg,33.0,26.61,Germany,CF
1961,1st,omar sivori,Juventus,46.0,42.59,Italy,SS
1961,2nd,luis suarez,Internazionale,40.0,37.04,Uruguay,CF
1961,3rd,johnny haynes,Fulham,22.0,20.37,England,SS
1962,1st,josef masopust,Dukla Prague,65.0,43.05,Czech Republic,CM
1962,2nd,eusebio,Benfica,53.0,35.1,Uruguay,Defender
1962,3rd,karl-heinz schnellinger,Köln,33.0,21.85,Germany,LB
1963,1st,lev yashin,Dynamo Moscow,73.0,45.91,Russia,GK
1963,2nd,gianni rivera,Milan,53.0,33.33,Italy,AM
1963,3rd,jimmy greaves,Tottenham Hotspur,33.0,20.75,England,CF
1964,1st,denis law,Manchester United,61.0,42.96,Scotland,CF
1964,2nd,luis suarez,Internazionale,43.0,30.28,Uruguay,CF
1964,3rd,amancio,Real Madrid,38.0,26.76,Spain,RW
1965,1st,eusebio,Benfica,67.0,39.18,Uruguay,Defender
1965,2nd,giacinto facchetti,Internazionale,59.0,34.5,Italy,LB
1965,3rd,luis suarez,Internazionale,45.0,26.32,Uruguay,CF
1966,1st,bobby charlton,Manchester United,81.0,36.82,England,AM
1966,2nd,eusebio,Benfica,80.0,36.36,Uruguay,Defender
1966,3rd,franz beckenbauer,Bayern Munich,59.0,26.82,Germany,SW
1967,1st,florian albert,Ferencváros,68.0,46.26,Hungary,CF
1967,2nd,bobby charlton,Manchester United,40.0,27.21,England,AM
1967,3rd,jimmy johnstone,Celtic,39.0,26.53,Scotland,RW
1968,1st,george best,Manchester United,61.0,38.12,Northern Ireland,RW
1968,2nd,bobby charlton,Manchester United,53.0,33.12,England,AM
1968,3rd,dragan dzajic,Red Star Belgrade,46.0,28.75,Serbia,LW
1969,1st,gianni rivera,Milan,83.0,41.5,Italy,AM
1969,2nd,luigi riva,Cagliari,79.0,39.5,Italy,CF
1969,3rd,gerd muller,Bayern Munich,38.0,19.0,Germany,CF
1970,1st,gerd muller,Bayern Munich,77.0,36.32,Germany,CF
1970,2nd,bobby moore,West Ham United,70.0,33.02,England,CB
1970,3rd,luigi riva,Cagliari,65.0,30.66,Italy,CF
1971,1st,johan cruyff,Ajax,116.0,50.66,Netherlands,AM
1971,2nd,sandro mazzola,Internazionale,57.0,24.89,Italy,SS
1971,3rd,george best,Manchester United,56.0,24.45,Northern Ireland,RW
1972,1st,franz beckenbauer,Bayern Munich,81.0,33.89,Germany,SW
1972,2nd,gerd muller,Bayern Munich,79.0,33.05,Germany,CF
1972,2nd,gunter netzer,Borussia Mönchengladbach,79.0,33.05,Germany,AM
1973,1st,johan cruyff,Barcelona,96.0,51.34,Netherlands,AM
1973,2nd,dino zoff,Juventus,47.0,25.13,Italy,GK
1973,3rd,gerd muller,Bayern Munich,44.0,23.53,Germany,CF
1974,1st,johan cruyff,Barcelona,116.0,45.31,Netherlands,AM
1974,2nd,franz beckenbauer,Bayern Munich,105.0,41.02,Germany,SW
1974,3rd,kazimierz deyna,Legia Warsaw,35.0,13.67,Poland,AM
1975,1st,oleg blokhin,Dynamo Kyiv,122.0,63.87,Ukraine,SS
1975,2nd,franz beckenbauer,Bayern Munich,42.0,21.99,Germany,SW
1975,3rd,johan cruyff,Barcelona,27.0,14.14,Netherlands,AM
1976,1st,franz beckenbauer,Bayern Munich,91.0,41.74,Germany,SW
1976,2nd,rob rensenbrink,Anderlecht,75.0,34.4,Netherlands,LW
1976,3rd,ivo viktor,Dukla Prague,52.0,23.85,Czech Republic,GK
1977,1st,allan simonsen,Borussia Mönchengladbach,74.0,34.42,Denmark,SS
1977,2nd,kevin keegan,Hamburg,71.0,33.02,England,CF
1977,3rd,michel platini,Nancy,70.0,32.56,France,AM
1978,1st,kevin keegan,Hamburg,87.0,39.91,England,CF
1978,2nd,hans krankl,Barcelona,81.0,37.16,Austria,CF
1978,3rd,rob rensenbrink,Anderlecht,50.0,22.94,Netherlands,LW
1979,1st,kevin keegan,Hamburg,118.0,55.92,England,CF
1979,2nd,karl-heinz rummenigge,Bayern Munich,52.0,24.64,Germany,CF
1979,3rd,ruud krol,Ajax,41.0,19.43,Netherlands,LB
1980,1st,karl-heinz rummenigge,Bayern Munich,122.0,64.55,Germany,CF
1980,2nd,bernd schuster,Barcelona,34.0,17.99,Germany,AM
1980,3rd,michel platini,Saint-Étienne,33.0,17.46,France,AM
1981,1st,karl-heinz rummenigge,Bayern Munich,106.0,50.72,Germany,CF
1981,2nd,paul breitner,Bayern Munich,64.0,30.62,Germany,LB
1981,3rd,bernd schuster,Barcelona,39.0,18.66,Germany,AM
1982,1st,paolo rossi,Juventus,115.0,52.75,Italy,CF
1982,2nd,alain giresse,Bordeaux,64.0,29.36,France,AM
1982,3rd,zbigniew boniek,Juventus,39.0,17.89,Poland,AM
1983,1st,michel platini,Juventus,110.0,68.32,France,AM
1983,2nd,kenny dalglish,Liverpool,26.0,16.15,Scotland,SS
1983,3rd,allan simonsen,Vejle,25.0,15.53,Denmark,SS
1984,1st,michel platini,Juventus,110.0,51.16,France,AM
1984,2nd,jean tigana,Bordeaux,57.0,26.51,France,CM
1984,3rd,preben elkjaer,Hellas Verona,48.0,22.33,Denmark,CF
1985,1st,michel platini,Juventus,127.0,52.05,France,AM
1985,2nd,preben elkjaer,Hellas Verona,71.0,29.1,Denmark,CF
1985,3rd,bernd schuster,Barcelona,46.0,18.85,Germany,AM
1986,1st,igor belanov,Dynamo Kyiv,84.0,40.98,Ukraine,CF
1986,2nd,gary lineker,Barcelona,62.0,30.24,England,CF
1986,3rd,emilio butragueno,Real Madrid,59.0,28.78,Spain,CF
1987,1st,ruud gullit,Milan,106.0,41.09,Netherlands,AM
1987,2nd,paulo futre,Atlético Madrid,91.0,35.27,Portugal,LW
1987,3rd,emilio butragueno,Real Madrid,61.0,23.64,Spain,CF
1988,1st,marco van basten,Milan,129.0,49.24,Netherlands,CF
1988,2nd,ruud gullit,Milan,88.0,33.59,Netherlands,AM
1988,3rd,frank rijkaard,Milan,45.0,17.18,Netherlands,DM
1989,1st,marco van basten,Milan,129.0,51.19,Netherlands,CF
1989,2nd,franco baresi,Milan,80.0,31.75,Italy,SW
1989,3rd,frank rijkaard,Milan,43.0,17.06,Netherlands,DM
1990,1st,lothar matthaus,Internazionale,137.0,47.4,Germany,DM
1990,2nd,salvatore schillaci,Juventus,84.0,29.07,Italy,CF
1990,3rd,andreas brehme,Internazionale,68.0,23.53,Germany,LB
1991,1st,jean-pierre papin,Marseille,141.0,52.81,France,CF
1991,2nd,dejan savicevic,Red Star Belgrade,42.0,15.73,Montenegro,AM
1991,2nd,darko pancev,Red Star Belgrade,42.0,15.73,North Macedonia,CF
1991,2nd,lothar matthaus,Internazionale,42.0,15.73,Germany,DM
1992,1st,marco van basten,Milan,98.0,42.42,Netherlands,CF
1992,2nd,hristo stoichkov,Barcelona,80.0,34.63,Bulgaria,LW
1992,3rd,dennis bergkamp,Ajax,53.0,22.94,Netherlands,SS
1993,1st,roberto baggio,Juventus,142.0,54.83,Italy,SS
1993,2nd,dennis bergkamp,Internazionale,83.0,32.05,Netherlands,SS
1993,3rd,eric cantona,Manchester United,34.0,13.13,France,SS
1994,1st,hristo stoichkov,Barcelona,210.0,46.15,Bulgaria,LW
1994,2nd,roberto baggio,Juventus,136.0,29.89,Italy,SS
1994,3rd,paolo maldini,Milan,109.0,23.96,Italy,LB
1995,1st,george weah,Milan,144.0,45.14,Liberia,CF
1995,2nd,jurgen klinsmann,Bayern Munich,108.0,33.86,Germany,CF
1995,3rd,jari litmanen,Ajax,67.0,21.0,Finland,AM
1996,1st,matthias sammer,Borussia Dortmund,144.0,36.55,Germany,SW
1996,2nd,ronaldo,Barcelona,143.0,36.29,Portugal,CF
1996,3rd,alan shearer,Newcastle United,107.0,27.16,England,CF
1997,1st,ronaldo,Internazionale,222.0,62.89,Portugal,CF
1997,2nd,predrag mijatovic,Real Madrid,68.0,19.26,Montenegro,CF
1997,3rd,zinedine zidane,Juventus,63.0,17.85,France,AM
1998,1st,zinedine zidane,Juventus,244.0,64.55,France,AM
1998,2nd,davor suker,Real Madrid,68.0,17.99,Croatia,CF
1998,3rd,ronaldo,Internazionale,66.0,17.46,Portugal,CF
1999,1st,rivaldo,Barcelona,219.0,50.11,Brazil,AM
1999,2nd,david beckham,Manchester United,154.0,35.24,England,CM
1999,3rd,andriy shevchenko,Milan,64.0,14.65,Ukraine,CF
2000,1st,luis figo,Real Madrid,197.0,42.55,Portugal,RW
2000,2nd,zinedine zidane,Juventus,181.0,39.09,France,AM
2000,3rd,andriy shevchenko,Milan,85.0,18.36,Ukraine,CF
2001,1st,michael owen,Liverpool,176.0,40.93,England,CF
2001,2nd,raul,Real Madrid,140.0,32.56,Spain,CB
2001,3rd,oliver kahn,Bayern Munich,114.0,26.51,Germany,GK
2002,1st,ronaldo,Real Madrid,169.0,39.86,Portugal,CF
2002,2nd,roberto carlos,Real Madrid,145.0,34.2,Brazil,LB
2002,3rd,oliver kahn,Bayern Munich,110.0,25.94,Germany,GK
2003,1st,pavel nedved,Juventus,190.0,43.08,Czech Republic,LM
2003,2nd,thierry henry,Arsenal,128.0,29.02,France,CF
2003,3rd,paolo maldini,Milan,123.0,27.89,Italy,LB
