year,champions_Winner,europaLeague_Winner
1956,Real Madrid,
1957,Real Madrid,
1958,Real Madrid,
1959,Real Madrid,
1960,Real Madrid,
1961,Benfica,
1962,Benfica,
1963,Milan,
1964,Inter,
1965,Inter,
1966,Real Madrid,
1967,Celtic,
1968,Manchester Utd,
1969,Milan,
1970,Feyenoord,
1971,Ajax,
1972,Ajax,Tottenham
1973,Ajax,Liverpool
1974,Bayern Monaco,Feyenoord
1975,Bayern Monaco,Borussia M'gladbach
1976,Bayern Monaco,Liverpool
1977,Liverpool,Juventus
1978,Liverpool,PSV
1979,Nottingham Forest,Borussia M'gladbach
1980,Nottingham Forest,Eintracht Francoforte
1981,Liverpool,Ipswich Town
1982,Aston Villa,IFK Göteborg
1983,Amburgo,Anderlecht
1984,Liverpool,Tottenham
1985,Juventus,Real Madrid
1986,Steaua Bucarest,Real Madrid
1987,Porto,IFK Göteborg
1988,PSV,Bayer Leverkusen
1989,Milan,Napoli
1990,Milan,Juventus
1991,Stella Rossa,Inter
1992,Barcellona,Ajax
1993,Olympique Marsiglia,Juventus
1994,Milan,Inter
1995,Ajax,Parma
1996,Juventus,Bayern Monaco
1997,Borussia Dortmund,Schalke 04
1998,Real Madrid,Inter
1999,Manchester Utd,Parma
2000,Real Madrid,Galatasaray
2001,Bayern Monaco,Liverpool
2002,Real Madrid,Feyenoord
2003,Milan,Porto
2004,Porto,Valencia
2005,Liverpool,CSKA Mosca
2006,Barcellona,Siviglia
2007,Milan,Siviglia
2008,Manchester Utd,Zenit San Pietroburgo
2009,Barcellona,Šachtar
2010,Inter,Atlético Madrid
2011,Barcellona,Porto
2012,Chelsea,Atlético Madrid
2013,Bayern Monaco,Chelsea
2014,Real Madrid,Siviglia
2015,Barcellona,Siviglia
2016,Real Madrid,Siviglia
2017,Real Madrid,Manchester Utd
2018,Real Madrid,Atlético Madrid
2019,Liverpool,Chelsea
2020,Bayern Monaco,Siviglia
2021,Chelsea,Villarreal
2022,Real Madrid,Eintracht Francoforte
2023,Manchester City,Siviglia
2024,Real Madrid,Atalanta
