year,Mondiale_Winner,CoppaAsia_Winner,CoppaAfrica_Winner,Europeo_Winner,CoppaAmerica_Winner
1956,,Corea del Sud,,,Uruguay
1957,,,Egitto,,Argentina
1958,Brasile,,,,
1959,,,Rep. Araba Unita,,Argentina
1959,,,Rep. Araba Unita,,Uruguay
1960,,Corea del Sud,,Unione Sovietica,
1962,Brasile,,Etiopia,,
1963,,,Ghana,,Bolivia
1964,,Israele,,Spagna,
1965,,,Ghana,,
1966,Inghilterra,,,,
1967,,,,,Uruguay
1968,,Iran,Congo-Kinshasa,Italia,
1970,Brasile,,Sudan,,
1972,,Iran,Congo-Brazzaville,Germania Ovest,
1974,Germania Ovest,,Zaire,,
1975,,,,,Perù
1976,,Iran,Marocco,Cecoslovacchia,
1978,Argentina,,Ghana,,
1979,,,,,Paraguay
1980,,Kuwait,Nigeria,Germania Ovest,
1982,Italia,,Ghana,,
1983,,,,,Uruguay
1984,,Arabia Saudita,Camerun,Francia,
1986,Argentina,,Egitto,,
1987,,,,,Uruguay
1988,,Arabia Saudita,Camerun,Paesi Bassi,
1989,,,,,Brasile
1990,Germania Ovest,,Algeria,,
1991,,,,,Argentina
1992,,Giappone,Costa d'Avorio,Danimarca,
1993,,,,,Argentina
1994,Brasile,,Nigeria,,
1995,,,,,Uruguay
1996,,Arabia Saudita,Sudafrica,Germania,
1997,,,,,Brasile
1998,Francia,,Egitto,,
1999,,,,,Brasile
2000,,Giappone,Camerun,Francia,
2001,,,,,Colombia
2002,Brasile,,Camerun,,
2004,,Giappone,Tunisia,Grecia,Brasile
2006,Italia,,Egitto,,
2007,,Iraq,,,Brasile
2008,,,Egitto,Spagna,
2010,Spagna,,Egitto,,
2011,,Giappone,,,Uruguay
2012,,,Zambia,Spagna,
2013,,,Nigeria,,
2014,Germania,,,,
2015,,Australia,Costa d'Avorio,,Cile
2016,,,,Portogallo,Cile
2017,,,Camerun,,
2018,Francia,,,,
2019,,Qatar,Algeria,,Brasile
2021,,,,,Argentina
2022,Argentina,,,,
2023,,Qatar,,,
2024,,,,Spagna,Argentina
