year,rank,player,team,nazionality,champions,laLiga,serieA,primeraLiga,Mondiale,coppaOlanda,coppaItalia,Europeo,europaLeague,bundesliga,CoppaAmerica,coppaInghilterra,coppaSpagna,legue1,premierLeague,coppaBelgio,scottishPremiership,coppaScozia,coppaFrancia
1956,1st,Stanley Matthews,Blackpool,Inghilterra,,,,,,,,,,,,,,,,,,,
1956,2nd,Alfredo Di Stéfano,Real Madrid,Spagna,Real Madrid,,,,,,,,,,,,,,,,,,
1956,3rd,Raymond Kopa,Real Madrid,Francia,Real Madrid,,,,,,,,,,,,,,,,,,
1957,1st,Alfredo Di Stéfano,Real Madrid,Spagna,Real Madrid,Real Madrid,,,,,,,,,,,,,,,,,
1957,2nd,Billy Wright,Wolverhampton Wanderers,Inghilterra,,,,,,,,,,,,,,,,,,,
1957,3rd,Duncan Edwards,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1958,1st,Raymond Kopa,Real Madrid,Francia,Real Madrid,Real Madrid,,,,,,,,,,,,,,,,,
1958,2nd,Helmut Rahn,Rot-Weiss Essen,Germania,,,,,,,,,,,,,,,,,,,
1958,3rd,Just Fontaine,Stade de Reims,Francia,,,,,,,,,,,,,,,,,,,
1959,1st,Alfredo Di Stéfano,Real Madrid,Spagna,Real Madrid,,,,,,,,,,,,,,,,,,
1959,2nd,Raymond Kopa,Real Madrid,Francia,Real Madrid,,,,,,,,,,,,,,,,,,
1959,3rd,John Charles,Juventus,Inghilterra,,,,,,,Juventus,,,,,,,,,,,,
1960,1st,Luis Suárez Miramontes,Barcellona,Spagna,,Barcellona,,,,,,,,,,,,,,,,,
1960,2nd,Ferenc Puskás,Real Madrid,Ungheria,Real Madrid,,,,,,,,,,,,,,,,,,
1960,3rd,Uwe Seeler,Hamburg,Germania,,,,,,,,,,,,,,,,,,,
1961,1st,Omar Sívori,Juventus,Italia,,,Juventus,,,,,,,,,,,,,,,,
1961,2nd,Luis Suárez Miramontes,Internazionale,Spagna,,,,,,,,,,,,,,,,,,,
1961,3rd,Johnny Haynes,Fulham,Inghilterra,,,,,,,,,,,,,,,,,,,
1962,1st,Josef Masopust,Dukla Prague,Repubblica Ceca,,,,,,,,,,,,,,,,,,,
1962,2nd,Eusébio,Benfica,Portogallo,Benfica,,,,,,,,,,,,,,,,,,
1962,3rd,Karl-Heinz Schnellinger,Köln,Germania,,,,,,,,,,,,,,,,,,,
1963,1st,Lev Yashin,Dynamo Moscow,Russia,,,,,,,,,,,,,,,,,,,
1963,2nd,Gianni Rivera,Milan,Italia,Milan,,,,,,,,,,,,,,,,,,
1963,3rd,Jimmy Greaves,Tottenham Hotspur,Inghilterra,,,,,,,,,,,,,,,,,,,
1964,1st,Denis Law,Manchester United,Scozia,,,,,,,,,,,,,,,,,,,
1964,2nd,Luis Suárez Miramontes,Internazionale,Spagna,Internazionale,,,,,,,Spagna,,,,,,,,,,,
1964,3rd,Amancio,Real Madrid,Spagna,,Real Madrid,,,,,,Spagna,,,,,,,,,,,
1965,1st,Eusébio,Benfica,Portogallo,,,,Benfica,,,,,,,,,,,,,,,
1965,2nd,Giacinto Facchetti,Internazionale,Italia,Internazionale,,Internazionale,,,,,,,,,,,,,,,,
1965,3rd,Luis Suárez Miramontes,Internazionale,Spagna,Internazionale,,Internazionale,,,,,,,,,,,,,,,,
1966,1st,Bobby Charlton,Manchester United,Inghilterra,,,,,Inghilterra,,,,,,,,,,,,,,
1966,2nd,Eusébio,Benfica,Portogallo,,,,,,,,,,,,,,,,,,,
1966,3rd,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1967,1st,Flórián Albert,Ferencvárosi TC,Ungheria,,,,,,,,,,,,,,,,,,,
1967,2nd,Bobby Charlton,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1967,3rd,Jimmy Johnstone,Celtic,Scozia,Celtic,,,,,,,,,,,,,,,,Celtic,Celtic,
1968,1st,George Best,Manchester United,Irlanda del Nord,,,,,,,,,,,,,,,,,,,
1968,2nd,Bobby Charlton,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1968,3rd,Dragan Džajić,Red Star Belgrade,Serbia,,,,,,,,,,,,,,,,,,,
1969,1st,Gianni Rivera,Milan,Italia,Milan,,,,,,,,,,,,,,,,,,
1969,2nd,Luigi Riva,Cagliari,Italia,,,,,,,,,,,,,,,,,,,
1969,3rd,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1970,1st,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1970,2nd,Bobby Moore,West Ham United,Inghilterra,,,,,,,,,,,,,,,,,,,
1970,3rd,Luigi Riva,Cagliari,Italia,,,Cagliari,,,,,,,,,,,,,,,,
1971,1st,Johan Cruyff,Ajax,Olanda,Ajax,,,,,Ajax,,,,,,,,,,,,,
1971,2nd,Sandro Mazzola,Internazionale,Italia,,,Internazionale,,,,,,,,,,,,,,,,
1971,3rd,George Best,Manchester United,Irlanda del Nord,,,,,,,,,,,,,,,,,,,
