Competizione,Count,Periodo,Rank
champions,7,pre-1994,1st
laLiga,5,pre-1994,1st
serieA,5,pre-1994,1st
primeraLiga,1,pre-1994,1st
Mondiale,2,pre-1994,1st
coppaOlanda,1,pre-1994,1st
coppaItalia,1,pre-1994,1st
Europeo,1,pre-1994,1st
europaLeague,1,pre-1994,1st
bundesliga,0,pre-1994,1st
CoppaAmerica,0,pre-1994,1st
coppaInghilterra,0,pre-1994,1st
coppaSpagna,0,pre-1994,1st
legue1,0,pre-1994,1st
premierLeague,0,pre-1994,1st
coppaBelgio,0,pre-1994,1st
scottishPremiership,0,pre-1994,1st
coppaScozia,0,pre-1994,1st
coppaFrancia,0,pre-1994,1st
Nessuna Competizione,20,pre-1994,1st
champions,4,1995–2009,1st
laLiga,3,1995–2009,1st
serieA,3,1995–2009,1st
primeraLiga,0,1995–2009,1st
Mondiale,2,1995–2009,1st
coppaOlanda,0,1995–2009,1st
coppaItalia,0,1995–2009,1st
Europeo,1,1995–2009,1st
europaLeague,1,1995–2009,1st
bundesliga,1,1995–2009,1st
CoppaAmerica,2,1995–2009,1st
coppaInghilterra,1,1995–2009,1st
coppaSpagna,1,1995–2009,1st
legue1,0,1995–2009,1st
premierLeague,0,1995–2009,1st
coppaBelgio,0,1995–2009,1st
scottishPremiership,0,1995–2009,1st
coppaScozia,0,1995–2009,1st
coppaFrancia,0,1995–2009,1st
Nessuna Competizione,3,1995–2009,1st
champions,3,2010–2015,1st
laLiga,3,2010–2015,1st
serieA,0,2010–2015,1st
primeraLiga,0,2010–2015,1st
Mondiale,0,2010–2015,1st
coppaOlanda,0,2010–2015,1st
coppaItalia,0,2010–2015,1st
Europeo,0,2010–2015,1st
europaLeague,0,2010–2015,1st
bundesliga,0,2010–2015,1st
CoppaAmerica,0,2010–2015,1st
coppaInghilterra,0,2010–2015,1st
coppaSpagna,3,2010–2015,1st
legue1,0,2010–2015,1st
premierLeague,0,2010–2015,1st
coppaBelgio,0,2010–2015,1st
scottishPremiership,0,2010–2015,1st
coppaScozia,0,2010–2015,1st
coppaFrancia,0,2010–2015,1st
Nessuna Competizione,1,2010–2015,1st
champions,4,post-2016,1st
laLiga,3,post-2016,1st
serieA,0,post-2016,1st
primeraLiga,0,post-2016,1st
Mondiale,0,post-2016,1st
coppaOlanda,0,post-2016,1st
coppaItalia,0,post-2016,1st
Europeo,2,post-2016,1st
europaLeague,0,post-2016,1st
bundesliga,0,post-2016,1st
CoppaAmerica,1,post-2016,1st
coppaInghilterra,0,post-2016,1st
coppaSpagna,1,post-2016,1st
legue1,1,post-2016,1st
premierLeague,1,post-2016,1st
coppaBelgio,0,post-2016,1st
scottishPremiership,0,post-2016,1st
coppaScozia,0,post-2016,1st
coppaFrancia,0,post-2016,1st
Nessuna Competizione,0,post-2016,1st
champions,9,pre-1994,2nd
laLiga,1,pre-1994,2nd
serieA,4,pre-1994,2nd
primeraLiga,0,pre-1994,2nd
Mondiale,0,pre-1994,2nd
coppaOlanda,0,pre-1994,2nd
coppaItalia,1,pre-1994,2nd
Europeo,2,pre-1994,2nd
europaLeague,1,pre-1994,2nd
bundesliga,0,pre-1994,2nd
CoppaAmerica,0,pre-1994,2nd
coppaInghilterra,0,pre-1994,2nd
coppaSpagna,1,pre-1994,2nd
legue1,0,pre-1994,2nd
premierLeague,1,pre-1994,2nd
coppaBelgio,1,pre-1994,2nd
